,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,latest_price
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10,4,DDR4,0,1024,Windows,64,0,0,24990
1,Lenovo,Ideapad,AMD,APU Dual,10,4,DDR4,0,512,Windows,64,0,0,19590
2,Avita,PURA,AMD,APU Dual,10,4,DDR4,128,0,Windows,64,0,0,19990
3,Avita,PURA,AMD,APU Dual,10,4,DDR4,128,0,Windows,64,0,0,21490
4,Avita,PURA,AMD,APU Dual,10,4,DDR4,256,0,Windows,64,0,0,24990
5,Avita,PURA,AMD,APU Dual,10,8,DDR4,256,0,Windows,64,0,0,24990
6,HP,APU,AMD,APU Dual,10,4,DDR4,0,1024,Windows,32,0,0,20900
7,Lenovo,APU,AMD,APU Dual,10,4,DDR4,0,1024,Windows,64,0,0,21896
8,HP,Athlon,AMD,Athlon Dual,10,32,DDR4,32,0,Windows,32,4,0,26899
9,acer,Aspire,AMD,Athlon Dual,10,4,DDR4,256,0,Windows,64,0,0,31990
10,ASUS,ExpertBook,Intel,Core i3,10,4,DDR4,0,1024,Windows,64,0,0,34649
11,Lenovo,Missing,Intel,Core i3,10,4,DDR4,0,1024,Windows,64,0,0,38999
12,Lenovo,v15,Intel,Core i3,10,4,DDR4,0,1024,Windows,64,0,0,39999
13,ASUS,ExpertBook,Intel,Core i5,10,8,DDR4,512,0,Windows,32,2,0,69990
17,ASUS,ExpertBook,Intel,Core i5,10,8,DDR4,0,1024,Windows,32,2,0,58799
18,Lenovo,Missing,Intel,Core i5,10,4,DDR4,0,1024,Windows,32,0,0,49999
19,acer,Aspire,AMD,Ryzen,10,4,DDR4,0,512,Windows,32,4,0,54990
20,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32,4,0,59990
21,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32,6,0,93700
22,acer,Nitro,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32,4,0,72990
25,ASUS,ExpertBook,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,35990
26,HP,x360,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,1,56490
27,HP,x360,Intel,Core i5,11,8,DDR4,256,0,Windows,64,0,0,65390
33,HP,15q,Intel,Core i3,7,4,DDR4,0,1024,Windows,64,0,0,32955
34,HP,250-G6,Intel,Core i5,7,4,DDR4,0,1024,Windows,32,2,0,46200
35,ASUS,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,34429
36,Lenovo,IdeaPad,Intel,Core i3,10,8,DDR4,256,0,Windows,32,0,0,37990
37,ASUS,VivoBook,Intel,Core i3,11,4,DDR4,256,0,Windows,32,0,0,35990
38,ASUS,VivoBook,Intel,Core i3,10,8,DDR4,256,0,Windows,64,0,0,33980
39,HP,Missing,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,39990
40,DELL,Vostro,Intel,Core i3,10,8,DDR4,256,0,Windows,64,0,0,39490
41,RedmiBook,15,Intel,Core i3,11,8,DDR4,256,0,Windows,32,0,0,38990
42,HP,Pavilion,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,1,53990
43,acer,Aspire,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,38990
44,realme,Book,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,46990
45,ASUS,Missing,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,37990
46,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,37890
47,Lenovo,IdeaPad,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,38990
48,Lenovo,IdeaPad,Intel,Core i3,10,8,DDR4,256,0,Windows,64,0,0,37990
49,DELL,Vostro,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,41990
50,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,45990
51,Lenovo,IdeaPad,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,39990
52,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,42490
53,Infinix,INBook,Intel,Core i3,10,8,LPDDR4X,256,0,Windows,64,0,0,32990
54,DELL,Vostro,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,36990
55,Lenovo,Ideapad,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,1,53990
56,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,36990
57,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,38940
58,DELL,Inspiron,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,39490
59,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,45990
60,Lenovo,Ideapad,Intel,Core i3,10,8,DDR4,256,0,Windows,64,0,0,39999
61,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,42990
62,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,1,49990
63,DELL,Vostro,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,41490
64,DELL,Inspiron,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,41990
65,Lenovo,Ideapad,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,41990
66,Infinix,INBook,Intel,Core i3,10,8,LPDDR4X,256,0,Windows,64,0,0,32990
67,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,38490
68,Lenovo,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,38990
69,Lenovo,ThinkPad,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,44990
70,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,36490
71,Lenovo,Missing,Intel,Core i3,10,8,DDR4,256,0,Windows,32,0,0,38970
72,HP,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,44900
73,MSI,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,38990
74,DELL,Vostro,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,44427
75,ASUS,VivoBook,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,35990
76,Lenovo,Ideapad,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,40200
77,Lenovo,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,32,0,0,40990
78,DELL,Inspiron,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,42490
79,realme,Book,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,47999
81,DELL,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,1,71999
82,ASUS,VivoBook,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,39990
83,Lenovo,IdeaPad,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,41998
84,ASUS,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,32,0,0,41990
85,Lenovo,Ideapad,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,39999
86,ASUS,Commercial,Intel,Core i3,10,4,DDR4,256,0,Windows,32,0,0,39990
87,Lenovo,Ideapad,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,39998
88,HP,14s,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,42490
89,Lenovo,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,32,0,0,41990
90,ASUS,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,32,0,0,48490
91,HP,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,44376
92,DELL,Missing,Intel,Core i3,11,4,DDR4,256,0,Windows,32,0,0,43900
93,DELL,INSPIRON,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,46690
94,Lenovo,Missing,Intel,Core i3,10,4,DDR4,256,0,Windows,32,0,0,40990
95,DELL,Inspiron,Intel,Core i3,10,4,DDR4,256,0,Windows,64,0,0,39990
96,Lenovo,V15,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,43990
97,ASUS,VivoBook,Intel,Core i3,11,4,DDR4,256,0,Windows,64,0,0,36990
98,DELL,Missing,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,48500
99,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,256,0,Windows,64,0,0,48990
101,HP,Pavilion,Intel,Core i3,8,4,DDR4,256,0,Windows,64,0,1,54238
102,ASUS,VivoBook,Intel,Core i3,10,8,DDR4,512,0,Windows,64,0,0,37990
103,HP,Missing,Intel,Core i3,11,8,DDR4,512,0,Windows,64,0,0,42990
104,HP,Missing,Intel,Core i3,11,8,DDR4,512,0,Windows,64,0,0,42990
105,ASUS,VivoBook,Intel,Core i3,10,4,DDR4,512,0,Windows,64,0,0,35990
106,RedmiBook,15,Intel,Core i3,11,8,DDR4,512,0,Windows,32,0,0,42990
107,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,512,0,Windows,64,0,0,42990
108,ASUS,VivoBook,Intel,Core i3,11,8,LPDDR4X,512,0,Windows,32,0,1,51990
109,ASUS,VivoBook,Intel,Core i3,11,8,DDR4,512,0,Windows,64,0,0,48990
